State,District,Year,Season,Crop,Rainfall,Temperature,Area,Yield
2,KURNOOL,2002,2,3,22.379,26.4505,362,240
2,KURNOOL,2002,2,4,22.379,26.4505,100721,135067
2,KURNOOL,2002,2,1,22.379,26.4505,10974,24856
2,KURNOOL,2002,2,2,22.379,26.4505,941,867
2,KURNOOL,2004,1,3,575.3,28.7231666666667,10376,9598
2,KURNOOL,2004,1,4,575.3,28.7231666666667,16448,64871
2,KURNOOL,2004,1,1,575.3,28.7231666666667,61465,210702
2,KURNOOL,2004,2,3,68.2,26.2636666666667,760,703
2,KURNOOL,2004,2,4,68.2,26.2636666666667,86637,139745
2,KURNOOL,2004,2,1,68.2,26.2636666666667,12058,37549
2,KURNOOL,2004,2,2,68.2,26.2636666666667,393,88
2,KURNOOL,2005,1,3,791.3,29.2271666666667,10949,13391
2,KURNOOL,2005,1,4,791.3,29.2271666666667,20905,87801
2,KURNOOL,2005,1,1,791.3,29.2271666666667,88555,292586
2,KURNOOL,2005,2,3,46.9,26.2478333333333,1241,1518
2,KURNOOL,2005,2,4,46.9,26.2478333333333,73299,140514
2,KURNOOL,2005,2,1,46.9,26.2478333333333,20079,65980
2,KURNOOL,2005,2,2,46.9,26.2478333333333,711,418
2,KURNOOL,2006,1,3,507.2,29.1621666666667,8784,7993
2,KURNOOL,2006,1,4,507.2,29.1621666666667,4905,9839
2,KURNOOL,2006,1,1,507.2,29.1621666666667,80692,270238
2,KURNOOL,2006,2,3,93.6,26.222,681,620
2,KURNOOL,2006,2,4,93.6,26.222,68331,102838
2,KURNOOL,2006,2,1,93.6,26.222,12475,36764
2,KURNOOL,2006,2,2,93.6,26.222,670,176
2,KURNOOL,2007,1,3,1042.3,29.112,10000,11000
2,KURNOOL,2007,1,4,1042.3,29.112,5000,17000
2,KURNOOL,2007,1,1,1042.3,29.112,90000,332000
2,KURNOOL,2007,2,4,39.9,26.3211666666667,63000,135000
2,KURNOOL,2007,2,1,39.9,26.3211666666667,19000,51000
2,KURNOOL,2008,1,3,533.8,29.0945,7864,8540
2,KURNOOL,2008,1,4,533.8,29.0945,10834,32329
2,KURNOOL,2008,1,1,533.8,29.0945,84066,279856
2,KURNOOL,2008,2,3,174.8,26.1485,368,400
2,KURNOOL,2008,2,4,174.8,26.1485,55426,134186
2,KURNOOL,2008,2,1,174.8,26.1485,27383,97073
2,KURNOOL,2008,2,2,174.8,26.1485,747,405
2,KURNOOL,2009,1,3,693.8,29.6225,6259,4519
2,KURNOOL,2009,1,4,693.8,29.6225,12262,31943
2,KURNOOL,2009,1,1,693.8,29.6225,81908,256454
2,KURNOOL,2009,2,3,74.1,26.8253333333333,488,352
2,KURNOOL,2009,2,4,74.1,26.8253333333333,59444,97072
2,KURNOOL,2009,2,1,74.1,26.8253333333333,44772,157911
2,KURNOOL,2009,2,2,74.1,26.8253333333333,550,251
2,KURNOOL,2010,1,3,740.7,29.0765,7195,10692
2,KURNOOL,2010,1,4,740.7,29.0765,1555,5057
2,KURNOOL,2010,1,1,740.7,29.0765,104110,291475
2,KURNOOL,2010,2,3,82.5,26.7608333333333,416,618
2,KURNOOL,2010,2,4,82.5,26.7608333333333,54101,98410
2,KURNOOL,2010,2,1,82.5,26.7608333333333,32967,105626
2,KURNOOL,2010,2,2,82.5,26.7608333333333,563,808
2,PRAKASAM,1997,1,3,476.997,29.3941666666667,12200,11600
2,PRAKASAM,1997,1,4,476.997,29.3941666666667,3700,2100
2,PRAKASAM,1997,1,1,476.997,29.3941666666667,62000,124300
2,PRAKASAM,1997,2,4,332.1,25.9783333333333,4200,8100
2,PRAKASAM,1997,2,1,332.1,25.9783333333333,74200,222100
2,PRAKASAM,1998,1,3,650.786,29.5125,17200,23800
2,PRAKASAM,1998,1,4,650.786,29.5125,2400,700
2,PRAKASAM,1998,1,1,650.786,29.5125,72100,206700
2,PRAKASAM,1998,2,3,99.375,26.6205,400,500
2,PRAKASAM,1998,2,4,99.375,26.6205,3100,4100
2,PRAKASAM,1998,2,1,99.375,26.6205,73800,248900
2,PRAKASAM,1999,1,3,496.827,28.7536666666667,15401,20668
2,PRAKASAM,1999,1,4,496.827,28.7536666666667,2485,634
2,PRAKASAM,1999,1,1,496.827,28.7536666666667,70189,190583
2,PRAKASAM,1999,2,3,40.918,26.3013333333333,718,964
2,PRAKASAM,1999,2,4,40.918,26.3013333333333,6006,2306
2,PRAKASAM,1999,2,1,40.918,26.3013333333333,54885,129541
2,PRAKASAM,2000,1,3,665.201,28.7226666666667,28546,42876
2,PRAKASAM,2000,1,4,665.201,28.7226666666667,2992,1110
2,PRAKASAM,2000,1,1,665.201,28.7226666666667,50601,156559
2,PRAKASAM,2000,2,3,64.326,26.2951666666667,1807,2714
2,PRAKASAM,2000,2,4,64.326,26.2951666666667,6206,4996
2,PRAKASAM,2000,2,1,64.326,26.2951666666667,96893,316840
2,PRAKASAM,2001,1,3,620.035,29.1538333333333,7969,9786
2,PRAKASAM,2001,1,4,620.035,29.1538333333333,1570,898
2,PRAKASAM,2001,1,1,620.035,29.1538333333333,40841,134204
2,PRAKASAM,2001,2,3,94.337,26.4146666666667,717,880
2,PRAKASAM,2001,2,4,94.337,26.4146666666667,3490,2576
2,PRAKASAM,2001,2,1,94.337,26.4146666666667,106540,385888
2,PRAKASAM,2001,2,2,94.337,26.4146666666667,15,10
2,PRAKASAM,2002,1,3,528.76,29.4455,10062,9378
2,PRAKASAM,2002,1,4,528.76,29.4455,792,264
2,PRAKASAM,2002,1,1,528.76,29.4455,19256,46927
2,PRAKASAM,2002,2,3,87.288,26.4505,198,185
2,PRAKASAM,2002,2,4,87.288,26.4505,8739,7009
2,PRAKASAM,2002,2,1,87.288,26.4505,46223,104325
2,PRAKASAM,2002,2,2,87.288,26.4505,73,67
2,PRAKASAM,2004,1,3,633.6,28.7231666666667,17641,20958
2,PRAKASAM,2004,1,4,633.6,28.7231666666667,2063,1104
2,PRAKASAM,2004,1,1,633.6,28.7231666666667,27435,95446
2,PRAKASAM,2004,2,3,124.2,26.2636666666667,148,176
2,PRAKASAM,2004,2,4,124.2,26.2636666666667,5047,4280
2,PRAKASAM,2004,2,1,124.2,26.2636666666667,66134,220491
2,PRAKASAM,2005,1,3,872.3,29.2271666666667,16523,27015
2,PRAKASAM,2005,1,4,872.3,29.2271666666667,722,401
2,PRAKASAM,2005,1,1,872.3,29.2271666666667,54390,144351
2,PRAKASAM,2005,2,3,86.5,26.2478333333333,159,260
2,PRAKASAM,2005,2,4,86.5,26.2478333333333,2919,2855
2,PRAKASAM,2005,2,1,86.5,26.2478333333333,95020,340932
2,PRAKASAM,2006,1,3,576.2,29.1621666666667,9212,10760
2,PRAKASAM,2006,1,4,576.2,29.1621666666667,619,460
2,PRAKASAM,2006,1,1,576.2,29.1621666666667,41191,124809
2,PRAKASAM,2006,2,3,292.8,26.222,266,311
2,PRAKASAM,2006,2,4,292.8,26.222,2326,2410
2,PRAKASAM,2006,2,1,292.8,26.222,79875,297215
2,PRAKASAM,2007,1,3,841.1,29.112,18000,37000
2,PRAKASAM,2007,1,4,841.1,29.112,2000,3000
2,PRAKASAM,2007,1,1,841.1,29.112,47000,173000
2,PRAKASAM,2007,2,4,58.7,26.3211666666667,2000,2000
2,PRAKASAM,2007,2,1,58.7,26.3211666666667,80000,287000
